Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
JAGUAR XE,2,4,SemiAuto-8,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXJ02.0STY,small car,1,32,42,36,7,No,284
JAGUAR XE,2,4,SemiAuto-8,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXJ02.0STY,small car,1,32,42,36,7,No,284
JAGUAR XF,2,4,SemiAuto-8,2WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXJ02.0STY,midsize car,1,31,42,35,7,No,289
JAGUAR XF,2,4,SemiAuto-8,2WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXJ02.0STY,midsize car,1,31,42,35,7,No,289
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,small car,3,31,48,37,7,Yes,294
CHEVROLET Cruze,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,small car,3,31,48,37,7,Yes,294
JAGUAR XE,2,4,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXJ02.0STY,small car,1,30,40,34,7,No,299
JAGUAR XE,2,4,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXJ02.0STY,small car,1,30,40,34,7,No,299
JAGUAR XF,2,4,SemiAuto-8,4WD,Diesel,CA,L3LEV160,California LEV-III LEV160,KJLXJ02.0STY,midsize car,1,30,40,34,7,No,299
JAGUAR XF,2,4,SemiAuto-8,4WD,Diesel,FA,T3B160,Federal Tier 3 Bin 160,KJLXJ02.0STY,midsize car,1,30,40,34,7,No,299
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,midsize car,3,30,45,35,6,No,310
CHEVROLET Cruze Hatchback,1.6,4,Auto-9,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,midsize car,3,30,45,35,6,No,310
CHEVROLET Equinox,1.6,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,small SUV,3,28,38,32,6,No,319
CHEVROLET Equinox,1.6,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,small SUV,3,28,38,32,6,No,319
GMC Terrain,1.6,4,Auto-6,4WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,small SUV,3,28,38,32,6,No,319
GMC Terrain,1.6,4,Auto-6,4WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,small SUV,3,28,38,32,6,No,319
CHEVROLET Equinox,1.6,4,Auto-6,2WD,Diesel,CA,L3ULEV125,California LEV-III ULEV125,KGMXJ01.6356,small SUV,3,28,39,32,6,No,321
CHEVROLET Equinox,1.6,4,Auto-6,2WD,Diesel,FA,T3B125,Federal Tier 3 Bin 125,KGMXJ01.6356,small SUV,3,28,39,32,6,No,321
