Make,Model,Year,Engine,Horsepower,CombMPG,FuelTank,Cylinders
Audi,A3,2021,2.0L,186,29,"13.2 gallons",4
Audi,A4,2021,2.0L,261,27,"15.3 gallons",4
Audi,A6,2021,3.0L,335,25,"18.0 gallons",6
BMW,320i,2021,2.0L,180,28,"15.6 gallons",4
BMW,330i,2021,2.0L,255,30,"15.6 gallons",4
BMW,530i,2021,2.0L,248,28,"18.0 gallons",4
Mercedes-Benz,C300,2021,2.0L,255,28,"17.4 gallons",4
Mercedes-Benz,E350,2021,2.0L,255,26,"17.4 gallons",4
Toyota,Camry,2021,2.5L,203,34,"14.5 gallons",4
Toyota,Corolla,2021,1.8L,139,33,"13.2 gallons",4
Honda,Accord,2021,1.5L,192,33,"14.8 gallons",4
Honda,Civic,2021,2.0L,158,33,"12.4 gallons",4
